food_id,food_name,category,cuisine,meal_type,serving_size_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,vegetarian,vegan,gluten_free,diabetic_friendly,high_protein,low_fat,heart_healthy,weight_loss_friendly,main_ingredients,tags
23,Ilish (Hilsa) Bhuna,Fish,Bangladeshi,Dinner,120,140.0,25.2,6.4,17.6,0.6,0.1,599.7,No,No,Yes,Yes,Yes,No,No,No,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
24,Ilish (Hilsa) Jhol (Curry),Fish,Bangladeshi,Lunch,100,248.2,24.3,3.7,11.3,0.2,0.8,176.4,No,No,Yes,Yes,Yes,No,Yes,No,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
25,Ilish (Hilsa) Bhaja (Fried),Fish,Bangladeshi,Dinner,100,257.6,17.9,9.8,10.7,0.4,1.9,597.9,No,No,Yes,Yes,Yes,No,No,No,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
26,Ilish (Hilsa) Shorshe (Mustard Curry),Fish,Bangladeshi,Dinner,100,130.4,17.4,2.6,15.5,0.1,0.6,172.6,No,No,Yes,Yes,Yes,No,No,No,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
27,Ilish (Hilsa) Dopiaza,Fish,Bangladeshi,Dinner,150,247.1,20.8,2.6,11.6,0.9,0.1,180.6,No,No,Yes,Yes,Yes,No,Yes,No,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
28,Ilish (Hilsa) Tok (Sour Curry),Fish,Bangladeshi,Lunch,120,119.2,24.8,4.5,13.1,0.6,0.8,412.7,No,No,Yes,Yes,Yes,No,No,No,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
29,Ilish (Hilsa) Paturi (Steamed in Leaf),Fish,Bangladeshi,Dinner,120,132.7,22.9,4.4,9.7,0.7,0.6,292.3,No,No,Yes,Yes,Yes,No,Yes,Yes,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
30,Ilish (Hilsa) Chochchori,Fish,Bangladeshi,Lunch,100,173.3,26.0,12.0,4.2,0.2,0.5,570.0,No,No,Yes,Yes,Yes,Yes,No,Yes,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
31,Ilish (Hilsa) Curry,Fish,Bangladeshi,Lunch,100,159.1,16.7,10.3,15.0,0.6,2.0,444.3,No,No,Yes,Yes,Yes,No,No,No,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
32,Ilish (Hilsa) Grilled,Fish,Bangladeshi,Lunch,150,230.7,18.3,8.6,19.0,0.1,0.2,198.2,No,No,Yes,Yes,Yes,No,No,No,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
33,Ilish (Hilsa) Roast,Fish,Bangladeshi,Lunch,120,145.1,17.3,5.4,14.7,0.9,1.0,263.0,No,No,Yes,Yes,Yes,No,Yes,No,"Ilish (Hilsa), oil, spices","fish,seafood,protein"
34,Pangas Bhuna,Fish,Bangladeshi,Lunch,100,201.5,24.1,2.4,8.7,0.1,2.0,222.7,No,No,Yes,Yes,Yes,No,Yes,Yes,"Pangas, oil, spices","fish,seafood,protein"
35,Pangas Jhol (Curry),Fish,Bangladeshi,Dinner,150,212.9,21.2,3.1,19.1,0.7,0.3,166.2,No,No,Yes,Yes,Yes,No,No,No,"Pangas, oil, spices","fish,seafood,protein"
36,Pangas Bhaja (Fried),Fish,Bangladeshi,Dinner,150,188.4,19.7,2.4,9.2,0.9,1.9,168.0,No,No,Yes,Yes,Yes,No,Yes,Yes,"Pangas, oil, spices","fish,seafood,protein"
37,Pangas Shorshe (Mustard Curry),Fish,Bangladeshi,Dinner,100,209.1,22.3,5.5,12.5,0.9,1.9,487.3,No,No,Yes,Yes,Yes,No,No,No,"Pangas, oil, spices","fish,seafood,protein"
38,Pangas Dopiaza,Fish,Bangladeshi,Lunch,100,256.2,23.9,10.8,3.4,0.7,0.7,568.9,No,No,Yes,Yes,Yes,Yes,No,No,"Pangas, oil, spices","fish,seafood,protein"
39,Pangas Tok (Sour Curry),Fish,Bangladeshi,Lunch,120,125.5,22.7,5.8,3.7,0.5,0.4,563.3,No,No,Yes,Yes,Yes,Yes,No,Yes,"Pangas, oil, spices","fish,seafood,protein"
40,Pangas Paturi (Steamed in Leaf),Fish,Bangladeshi,Dinner,120,231.3,24.6,4.2,14.2,0.4,0.6,181.2,No,No,Yes,Yes,Yes,No,Yes,No,"Pangas, oil, spices","fish,seafood,protein"
41,Pangas Chochchori,Fish,Bangladeshi,Dinner,120,202.6,19.4,11.8,12.1,0.9,0.2,586.7,No,No,Yes,Yes,Yes,No,No,No,"Pangas, oil, spices","fish,seafood,protein"
42,Pangas Curry,Fish,Bangladeshi,Lunch,150,254.0,17.9,3.1,10.4,0.7,0.6,422.8,No,No,Yes,Yes,Yes,No,No,No,"Pangas, oil, spices","fish,seafood,protein"
43,Pangas Grilled,Fish,Bangladeshi,Lunch,120,243.9,17.1,2.4,10.4,0.5,1.6,459.1,No,No,Yes,Yes,Yes,No,No,No,"Pangas, oil, spices","fish,seafood,protein"
44,Pangas Roast,Fish,Bangladeshi,Lunch,120,169.0,25.4,11.2,13.6,0.7,0.2,555.0,No,No,Yes,Yes,Yes,No,No,No,"Pangas, oil, spices","fish,seafood,protein"
45,Koi Bhuna,Fish,Bangladeshi,Dinner,150,165.3,19.4,5.0,5.2,0.4,1.9,454.8,No,No,Yes,Yes,Yes,Yes,No,Yes,"Koi, oil, spices","fish,seafood,protein"
46,Koi Jhol (Curry),Fish,Bangladeshi,Lunch,150,191.1,19.5,10.3,8.2,0.2,1.6,423.0,No,No,Yes,Yes,Yes,No,No,Yes,"Koi, oil, spices","fish,seafood,protein"
47,Koi Bhaja (Fried),Fish,Bangladeshi,Dinner,120,170.7,22.4,7.1,16.5,1.0,1.5,446.5,No,No,Yes,Yes,Yes,No,No,No,"Koi, oil, spices","fish,seafood,protein"
48,Koi Shorshe (Mustard Curry),Fish,Bangladeshi,Dinner,150,206.2,21.8,2.9,19.2,0.2,0.6,513.0,No,No,Yes,Yes,Yes,No,No,No,"Koi, oil, spices","fish,seafood,protein"
49,Koi Dopiaza,Fish,Bangladeshi,Lunch,100,107.4,25.8,8.1,16.1,0.5,1.8,409.1,No,No,Yes,Yes,Yes,No,No,No,"Koi, oil, spices","fish,seafood,protein"
50,Koi Tok (Sour Curry),Fish,Bangladeshi,Dinner,120,163.9,16.6,8.9,18.2,0.9,1.8,500.3,No,No,Yes,Yes,Yes,No,No,No,"Koi, oil, spices","fish,seafood,protein"
51,Koi Paturi (Steamed in Leaf),Fish,Bangladeshi,Lunch,100,228.7,22.7,6.6,12.5,0.9,0.2,210.0,No,No,Yes,Yes,Yes,No,Yes,No,"Koi, oil, spices","fish,seafood,protein"
52,Koi Chochchori,Fish,Bangladeshi,Dinner,150,185.0,21.1,5.2,15.8,0.4,1.6,551.4,No,No,Yes,Yes,Yes,No,No,No,"Koi, oil, spices","fish,seafood,protein"
53,Koi Curry,Fish,Bangladeshi,Dinner,150,171.3,16.8,10.6,10.7,0.8,1.7,274.8,No,No,Yes,Yes,Yes,No,Yes,No,"Koi, oil, spices","fish,seafood,protein"
54,Koi Grilled,Fish,Bangladeshi,Dinner,150,138.3,19.8,9.1,7.0,0.3,1.8,186.3,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Koi, oil, spices","fish,seafood,protein"
55,Koi Roast,Fish,Bangladeshi,Lunch,100,161.3,16.7,4.1,10.1,0.3,0.9,178.0,No,No,Yes,Yes,Yes,No,Yes,No,"Koi, oil, spices","fish,seafood,protein"
56,Shing Bhuna,Fish,Bangladeshi,Dinner,120,244.8,21.4,9.0,17.6,0.8,0.8,152.7,No,No,Yes,Yes,Yes,No,No,No,"Shing, oil, spices","fish,seafood,protein"
57,Shing Jhol (Curry),Fish,Bangladeshi,Dinner,120,220.6,24.4,11.5,10.1,0.7,1.1,421.5,No,No,Yes,Yes,Yes,No,No,No,"Shing, oil, spices","fish,seafood,protein"
58,Shing Bhaja (Fried),Fish,Bangladeshi,Lunch,120,135.1,19.8,2.3,8.7,0.7,0.8,224.3,No,No,Yes,Yes,Yes,No,Yes,Yes,"Shing, oil, spices","fish,seafood,protein"
59,Shing Shorshe (Mustard Curry),Fish,Bangladeshi,Dinner,100,256.9,20.9,11.1,13.1,0.7,0.2,342.9,No,No,Yes,Yes,Yes,No,Yes,No,"Shing, oil, spices","fish,seafood,protein"
60,Shing Dopiaza,Fish,Bangladeshi,Dinner,100,108.0,19.2,4.1,8.6,0.8,0.8,488.4,No,No,Yes,Yes,Yes,No,No,Yes,"Shing, oil, spices","fish,seafood,protein"
61,Shing Tok (Sour Curry),Fish,Bangladeshi,Dinner,120,233.6,20.2,9.5,3.9,1.0,0.4,180.9,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Shing, oil, spices","fish,seafood,protein"
62,Shing Paturi (Steamed in Leaf),Fish,Bangladeshi,Lunch,100,251.9,17.2,2.2,5.6,0.1,1.3,403.8,No,No,Yes,Yes,Yes,Yes,No,No,"Shing, oil, spices","fish,seafood,protein"
63,Shing Chochchori,Fish,Bangladeshi,Lunch,120,211.9,23.4,3.7,13.3,0.7,0.2,518.7,No,No,Yes,Yes,Yes,No,No,No,"Shing, oil, spices","fish,seafood,protein"
64,Shing Curry,Fish,Bangladeshi,Dinner,100,192.6,25.2,7.8,18.4,0.4,1.9,239.2,No,No,Yes,Yes,Yes,No,No,No,"Shing, oil, spices","fish,seafood,protein"
65,Shing Grilled,Fish,Bangladeshi,Lunch,100,211.6,18.3,8.8,16.7,0.8,1.1,168.5,No,No,Yes,Yes,Yes,No,No,No,"Shing, oil, spices","fish,seafood,protein"
66,Shing Roast,Fish,Bangladeshi,Dinner,150,159.3,20.6,5.4,17.4,0.8,0.2,582.4,No,No,Yes,Yes,Yes,No,No,No,"Shing, oil, spices","fish,seafood,protein"
67,Magur Bhuna,Fish,Bangladeshi,Dinner,150,124.5,16.9,7.2,14.1,0.6,1.8,498.6,No,No,Yes,Yes,Yes,No,No,No,"Magur, oil, spices","fish,seafood,protein"
68,Magur Jhol (Curry),Fish,Bangladeshi,Dinner,120,232.1,21.5,5.2,7.2,0.9,0.6,352.9,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Magur, oil, spices","fish,seafood,protein"
69,Magur Bhaja (Fried),Fish,Bangladeshi,Dinner,150,197.7,19.2,2.3,17.5,0.2,0.4,509.0,No,No,Yes,Yes,Yes,No,No,No,"Magur, oil, spices","fish,seafood,protein"
70,Magur Shorshe (Mustard Curry),Fish,Bangladeshi,Dinner,120,240.9,22.7,4.8,3.2,0.9,0.2,474.0,No,No,Yes,Yes,Yes,Yes,No,Yes,"Magur, oil, spices","fish,seafood,protein"
71,Magur Dopiaza,Fish,Bangladeshi,Dinner,150,221.3,22.6,8.5,11.3,0.8,0.2,249.7,No,No,Yes,Yes,Yes,No,Yes,No,"Magur, oil, spices","fish,seafood,protein"
72,Magur Tok (Sour Curry),Fish,Bangladeshi,Lunch,120,206.2,19.1,7.5,8.8,1.0,1.1,308.3,No,No,Yes,Yes,Yes,No,Yes,Yes,"Magur, oil, spices","fish,seafood,protein"
73,Magur Paturi (Steamed in Leaf),Fish,Bangladeshi,Dinner,120,149.1,17.5,9.2,8.4,0.7,1.9,460.6,No,No,Yes,Yes,Yes,No,No,Yes,"Magur, oil, spices","fish,seafood,protein"
74,Magur Chochchori,Fish,Bangladeshi,Lunch,100,218.2,18.0,7.9,15.9,0.6,2.0,524.7,No,No,Yes,Yes,Yes,No,No,No,"Magur, oil, spices","fish,seafood,protein"
75,Magur Curry,Fish,Bangladeshi,Dinner,100,157.7,18.3,9.1,5.2,0.0,0.1,281.5,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Magur, oil, spices","fish,seafood,protein"
76,Magur Grilled,Fish,Bangladeshi,Lunch,150,239.0,20.4,10.7,12.8,0.5,0.9,233.0,No,No,Yes,Yes,Yes,No,Yes,No,"Magur, oil, spices","fish,seafood,protein"
77,Magur Roast,Fish,Bangladeshi,Lunch,120,250.6,20.3,10.2,9.8,0.1,1.3,174.1,No,No,Yes,Yes,Yes,No,Yes,No,"Magur, oil, spices","fish,seafood,protein"
78,Tilapia Bhuna,Fish,Bangladeshi,Lunch,150,251.9,15.9,4.5,12.5,0.4,1.2,428.3,No,No,Yes,Yes,Yes,No,No,No,"Tilapia, oil, spices","fish,seafood,protein"
79,Tilapia Jhol (Curry),Fish,Bangladeshi,Dinner,120,245.4,18.3,7.9,10.3,0.6,0.1,582.0,No,No,Yes,Yes,Yes,No,No,No,"Tilapia, oil, spices","fish,seafood,protein"
80,Tilapia Bhaja (Fried),Fish,Bangladeshi,Lunch,100,200.1,17.9,2.8,7.1,0.6,0.3,333.8,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Tilapia, oil, spices","fish,seafood,protein"
81,Tilapia Shorshe (Mustard Curry),Fish,Bangladeshi,Dinner,120,105.2,18.2,4.8,17.6,0.1,0.5,269.0,No,No,Yes,Yes,Yes,No,No,No,"Tilapia, oil, spices","fish,seafood,protein"
82,Tilapia Dopiaza,Fish,Bangladeshi,Lunch,120,118.4,17.5,3.5,7.5,0.1,0.1,506.7,No,No,Yes,Yes,Yes,Yes,No,Yes,"Tilapia, oil, spices","fish,seafood,protein"
83,Tilapia Tok (Sour Curry),Fish,Bangladeshi,Dinner,120,119.9,22.6,9.0,19.0,0.5,1.0,186.2,No,No,Yes,Yes,Yes,No,No,No,"Tilapia, oil, spices","fish,seafood,protein"
84,Tilapia Paturi (Steamed in Leaf),Fish,Bangladeshi,Lunch,120,217.5,21.6,2.3,6.9,0.7,1.7,414.2,No,No,Yes,Yes,Yes,Yes,No,Yes,"Tilapia, oil, spices","fish,seafood,protein"
85,Tilapia Chochchori,Fish,Bangladeshi,Lunch,150,231.4,21.3,9.6,6.0,0.5,0.9,275.2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Tilapia, oil, spices","fish,seafood,protein"
86,Tilapia Curry,Fish,Bangladeshi,Dinner,150,230.3,25.7,6.7,9.9,0.3,0.2,222.4,No,No,Yes,Yes,Yes,No,Yes,Yes,"Tilapia, oil, spices","fish,seafood,protein"
87,Tilapia Grilled,Fish,Bangladeshi,Dinner,150,179.3,22.3,6.0,15.9,0.0,0.2,263.6,No,No,Yes,Yes,Yes,No,No,No,"Tilapia, oil, spices","fish,seafood,protein"
88,Tilapia Roast,Fish,Bangladeshi,Lunch,120,238.4,24.1,2.0,17.8,0.5,0.1,383.3,No,No,Yes,Yes,Yes,No,No,No,"Tilapia, oil, spices","fish,seafood,protein"
89,Pabda Bhuna,Fish,Bangladeshi,Dinner,150,170.7,15.6,4.7,5.2,0.3,1.8,368.1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Pabda, oil, spices","fish,seafood,protein"
90,Pabda Jhol (Curry),Fish,Bangladeshi,Lunch,150,197.4,17.6,3.6,12.4,0.6,0.2,596.5,No,No,Yes,Yes,Yes,No,No,No,"Pabda, oil, spices","fish,seafood,protein"
91,Pabda Bhaja (Fried),Fish,Bangladeshi,Lunch,120,251.5,22.1,3.5,18.9,0.3,1.4,337.0,No,No,Yes,Yes,Yes,No,No,No,"Pabda, oil, spices","fish,seafood,protein"
92,Pabda Shorshe (Mustard Curry),Fish,Bangladeshi,Dinner,120,139.0,21.1,5.8,18.7,0.5,1.8,538.8,No,No,Yes,Yes,Yes,No,No,No,"Pabda, oil, spices","fish,seafood,protein"
93,Pabda Dopiaza,Fish,Bangladeshi,Dinner,120,154.4,23.7,4.7,3.0,0.7,1.7,411.0,No,No,Yes,Yes,Yes,Yes,No,Yes,"Pabda, oil, spices","fish,seafood,protein"
94,Pabda Tok (Sour Curry),Fish,Bangladeshi,Dinner,100,171.4,20.3,5.3,16.0,0.4,1.9,541.3,No,No,Yes,Yes,Yes,No,No,No,"Pabda, oil, spices","fish,seafood,protein"
95,Pabda Paturi (Steamed in Leaf),Fish,Bangladeshi,Lunch,150,161.3,24.4,6.1,8.4,0.5,1.8,321.6,No,No,Yes,Yes,Yes,No,Yes,Yes,"Pabda, oil, spices","fish,seafood,protein"
96,Pabda Chochchori,Fish,Bangladeshi,Lunch,120,254.4,16.4,11.7,8.6,0.1,1.7,194.9,No,No,Yes,Yes,Yes,No,Yes,No,"Pabda, oil, spices","fish,seafood,protein"
97,Pabda Curry,Fish,Bangladeshi,Dinner,100,215.6,19.5,8.5,5.6,0.5,1.9,302.4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Pabda, oil, spices","fish,seafood,protein"
98,Pabda Grilled,Fish,Bangladeshi,Dinner,150,112.9,18.6,8.7,12.1,1.0,1.3,549.3,No,No,Yes,Yes,Yes,No,No,No,"Pabda, oil, spices","fish,seafood,protein"
99,Pabda Roast,Fish,Bangladeshi,Dinner,150,105.7,15.8,8.3,18.7,1.0,1.5,345.3,No,No,Yes,Yes,Yes,No,No,No,"Pabda, oil, spices","fish,seafood,protein"
100,Chitol Bhuna,Fish,Bangladeshi,Lunch,150,212.6,16.1,3.7,8.1,0.0,0.6,175.3,No,No,Yes,Yes,Yes,No,Yes,Yes,"Chitol, oil, spices","fish,seafood,protein"
101,Chitol Jhol (Curry),Fish,Bangladeshi,Dinner,120,168.9,17.7,6.1,14.6,0.2,0.4,424.3,No,No,Yes,Yes,Yes,No,No,No,"Chitol, oil, spices","fish,seafood,protein"
102,Chitol Bhaja (Fried),Fish,Bangladeshi,Dinner,150,209.3,20.5,7.8,6.9,0.6,0.9,450.1,No,No,Yes,Yes,Yes,Yes,No,Yes,"Chitol, oil, spices","fish,seafood,protein"
103,Chitol Shorshe (Mustard Curry),Fish,Bangladeshi,Dinner,120,208.4,16.7,6.4,8.9,0.6,1.3,340.9,No,No,Yes,Yes,Yes,No,Yes,Yes,"Chitol, oil, spices","fish,seafood,protein"
104,Chitol Dopiaza,Fish,Bangladeshi,Dinner,120,235.2,17.2,5.8,11.2,0.2,1.1,408.7,No,No,Yes,Yes,Yes,No,No,No,"Chitol, oil, spices","fish,seafood,protein"
105,Chitol Tok (Sour Curry),Fish,Bangladeshi,Dinner,100,256.5,22.2,4.7,12.6,0.7,1.5,172.1,No,No,Yes,Yes,Yes,No,Yes,No,"Chitol, oil, spices","fish,seafood,protein"
106,Chitol Paturi (Steamed in Leaf),Fish,Bangladeshi,Dinner,120,224.1,17.5,10.0,6.7,0.2,0.5,490.0,No,No,Yes,Yes,Yes,Yes,No,Yes,"Chitol, oil, spices","fish,seafood,protein"
107,Chitol Chochchori,Fish,Bangladeshi,Lunch,150,115.5,21.9,2.4,16.4,0.0,0.7,209.1,No,No,Yes,Yes,Yes,No,No,No,"Chitol, oil, spices","fish,seafood,protein"
108,Chitol Curry,Fish,Bangladeshi,Dinner,120,219.6,16.9,3.3,12.2,1.0,1.1,561.1,No,No,Yes,Yes,Yes,No,No,No,"Chitol, oil, spices","fish,seafood,protein"
109,Chitol Grilled,Fish,Bangladeshi,Lunch,120,246.2,25.4,11.7,8.0,0.9,1.6,360.7,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Chitol, oil, spices","fish,seafood,protein"
110,Chitol Roast,Fish,Bangladeshi,Lunch,100,220.7,17.5,8.8,14.5,0.4,1.7,400.8,No,No,Yes,Yes,Yes,No,No,No,"Chitol, oil, spices","fish,seafood,protein"
111,Boal Bhuna,Fish,Bangladeshi,Lunch,120,102.2,20.9,6.5,14.4,0.7,1.2,520.1,No,No,Yes,Yes,Yes,No,No,No,"Boal, oil, spices","fish,seafood,protein"
112,Boal Jhol (Curry),Fish,Bangladeshi,Dinner,100,208.0,20.2,8.2,19.0,0.3,1.2,441.4,No,No,Yes,Yes,Yes,No,No,No,"Boal, oil, spices","fish,seafood,protein"
113,Boal Bhaja (Fried),Fish,Bangladeshi,Dinner,150,148.4,19.5,3.4,19.1,0.3,1.0,193.7,No,No,Yes,Yes,Yes,No,No,No,"Boal, oil, spices","fish,seafood,protein"
114,Boal Shorshe (Mustard Curry),Fish,Bangladeshi,Lunch,120,172.6,22.4,9.4,19.1,0.4,1.5,219.5,No,No,Yes,Yes,Yes,No,No,No,"Boal, oil, spices","fish,seafood,protein"
115,Boal Dopiaza,Fish,Bangladeshi,Dinner,150,115.8,20.4,6.1,19.2,0.0,0.7,349.5,No,No,Yes,Yes,Yes,No,No,No,"Boal, oil, spices","fish,seafood,protein"
116,Boal Tok (Sour Curry),Fish,Bangladeshi,Lunch,120,115.9,22.5,7.4,19.6,0.4,0.8,235.4,No,No,Yes,Yes,Yes,No,No,No,"Boal, oil, spices","fish,seafood,protein"
117,Boal Paturi (Steamed in Leaf),Fish,Bangladeshi,Lunch,120,114.7,17.3,8.4,19.5,0.1,0.7,595.0,No,No,Yes,Yes,Yes,No,No,No,"Boal, oil, spices","fish,seafood,protein"
118,Boal Chochchori,Fish,Bangladeshi,Lunch,100,232.8,21.1,7.9,16.8,0.2,1.5,504.9,No,No,Yes,Yes,Yes,No,No,No,"Boal, oil, spices","fish,seafood,protein"
119,Boal Curry,Fish,Bangladeshi,Lunch,120,237.3,16.6,3.3,7.3,0.2,1.3,161.6,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Boal, oil, spices","fish,seafood,protein"
120,Boal Grilled,Fish,Bangladeshi,Lunch,120,226.4,17.6,5.2,6.0,0.1,1.5,386.7,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Boal, oil, spices","fish,seafood,protein"
121,Boal Roast,Fish,Bangladeshi,Lunch,120,171.7,19.0,7.9,10.7,0.2,1.2,477.3,No,No,Yes,Yes,Yes,No,No,No,"Boal, oil, spices","fish,seafood,protein"
122,Tengra Bhuna,Fish,Bangladeshi,Dinner,120,202.9,15.3,12.0,17.4,0.4,0.2,470.6,No,No,Yes,Yes,Yes,No,No,No,"Tengra, oil, spices","fish,seafood,protein"
123,Tengra Jhol (Curry),Fish,Bangladeshi,Dinner,100,243.9,18.5,3.5,5.1,0.6,1.2,470.5,No,No,Yes,Yes,Yes,Yes,No,Yes,"Tengra, oil, spices","fish,seafood,protein"
124,Tengra Bhaja (Fried),Fish,Bangladeshi,Dinner,150,184.9,20.0,8.1,4.7,0.7,1.7,442.9,No,No,Yes,Yes,Yes,Yes,No,Yes,"Tengra, oil, spices","fish,seafood,protein"
125,Tengra Shorshe (Mustard Curry),Fish,Bangladeshi,Lunch,120,172.2,17.5,5.4,10.7,0.4,0.2,342.0,No,No,Yes,Yes,Yes,No,Yes,No,"Tengra, oil, spices","fish,seafood,protein"
126,Tengra Dopiaza,Fish,Bangladeshi,Dinner,120,252.6,22.6,6.7,4.6,0.1,0.9,485.1,No,No,Yes,Yes,Yes,Yes,No,No,"Tengra, oil, spices","fish,seafood,protein"
